,word,x,y,z
0,Agreeing,0.53564833955,-1.99727015392,-1.96320557797
1,child,-3.52222569858,6.4026960145,-0.290976062251
2,yellow,5.96235150639,-10.1583066296,-0.875986739248
3,dynasty,-2.66235360392,-0.650915346859,3.99444552753
4,four,2.88094044041,-3.52066790542,-8.03284202371
5,sleep,0.0101404283475,-0.740355780251,-5.80121313773
6,mansion,0.613828682167,3.05721178032,-3.54280366203
7,oldest,15.0948000283,5.97949925635,1.52660322615
8,saved,-1.64495698263,9.43093264318,-2.87015438743
9,assembled,-5.83318444891,-0.628673470734,1.68461553424
10,consider,11.3384697577,8.55028914209,6.76156399279
11,offenses,7.41221714818,7.67830465849,3.5559916492
12,Vichitravirya,-2.08358542664,1.66733258284,-0.479509748439
13,presents,16.10117188,-7.52844408879,-0.494885642764
14,under,6.85791741274,9.30555764452,-2.31262845705
15,lord,-2.32268239182,3.77818595771,-0.220829760743
16,pride,9.25424701322,10.2383298227,4.06091093685
17,sway,2.32400216037,9.39266481011,-7.35843457102
18,wondrous,0.125527498291,11.303756654,-3.51264217063
19,fists,11.7604089409,-10.436097061,-10.448280592
20,Vrihatkshatra,2.80318025967,-14.27910458,-3.76547371471
21,rescue,5.03204753711,11.5955901101,-1.07037344628
22,Duryodhana,-3.6253493296,-2.00295381789,0.198404868705
23,compassion,11.8788297032,5.23629095219,1.53065357664
24,Upaplavya,-3.73052169982,1.16262072113,2.52448720498
25,rise,15.8704985594,-6.41807127485,-9.84023924094
26,every,13.5550869875,2.42389425151,-1.42478449936
27,gratification,10.9700105884,-4.01515175868,6.81446518494
28,bringing,6.32528705157,-5.50666699036,-7.35666507034
29,encounter,12.621285105,-5.17215827999,-3.63636726818
30,look,1.63866911691,3.41643752584,3.66654031607
31,bewildered,12.3976131011,-0.550749746557,4.13940608542
32,uttering,11.4740816164,0.136642992665,-9.05473822415
33,Pandu,-5.14110365947,-1.73407136033,4.93163831459
34,Unable,11.6235114593,-5.26890283354,-1.52704119067
35,announced,0.177822615288,3.00897116705,-0.551578523872
36,succession,12.8889525847,2.55087164761,-0.288393641983
37,shafted,8.44300740974,-9.78878776888,-13.5210350568
38,clothes,13.3230927659,-9.36900607833,-8.77916342319
39,enjoy,8.58507739793,4.08637205801,6.56953192093
40,sannyasi,0.570466627626,7.74252910197,-2.92195739221
41,force,5.96919162378,-4.52958096827,-7.72542471699
42,leaders,0.953518145624,-2.22706363674,1.80455438085
43,completely,6.92131531048,0.00991437927354,-2.73192429014
44,tired,15.897890577,-11.6789607564,-4.63672900892
45,godly,8.30244603802,2.28489623723,0.681676075839
46,sannyasa,17.3195344076,5.19442054641,1.48473035175
47,direct,0.180329746232,17.0436409355,-2.23412884851
48,Shrila,14.4877023513,1.1377408461,-0.239263414598
49,second,-5.55849067179,-1.22707731629,5.34158769119
50,causeless,7.40796848965,4.31381779967,-0.641142046337
51,valiant,7.4096062005,-5.17698206557,-2.9980091581
52,subordinate,-0.255895492046,9.95173179183,-3.09238134626
53,Madhusudana,12.3825511238,5.82178283937,-0.974637027135
54,perish,6.69494762232,11.6730201226,0.935116026621
55,even,6.57236412121,2.14574507528,3.03669051983
56,established,19.6256456882,3.57807582646,2.8639769364
57,Indraprastha,2.34794920316,-8.68282939727,5.51592696407
58,hide,5.83364867451,13.0335953824,-2.43334354499
59,desirous,0.076644295968,13.977373413,-2.1128132558
60,thunder,2.04987328095,-4.18923113339,-5.33048577116
61,selected,12.7133611418,-5.07519322419,-4.68917202209
62,svayamvara,-0.20837253459,2.90206219089,-3.05340911368
63,poison,13.3806373574,-5.46018505796,-9.48367125065
64,Mahaprabhu,5.62517238581,-3.75850959815,3.35241239586
65,liberated,17.260487218,5.54054614396,7.55527377795
