,word,x,y,z
12,Vichitravirya,-1.80270952488,2.92136610844,5.00941799861
20,Vrihatkshatra,-11.2421195985,11.2033673485,-0.121261161092
22,Duryodhana,0.291098528249,0.402315113647,-0.527980432029
24,Upaplavya,-3.23638056335,0.905307486612,3.64821832242
33,Pandu,-2.62770482286,-3.30222282134,-8.0691723626
34,Unable,2.73685204632,4.60762792049,-11.6488724266
48,Shrila,16.8116876521,-8.08048412925,-6.73292864221
53,Madhusudana,7.70106042068,-2.57802043416,-1.05595243777
57,Indraprastha,-5.09306555378,-0.885925760836,4.2817615226
64,Mahaprabhu,10.9525496475,-1.86952045269,7.23530663347
83,Khandava,-3.04356084416,0.404132522104,7.95699209189
89,Queen,-0.544631016789,3.27301770268,6.16432119858
98,Absolute,16.901784899,-6.00537139328,7.2100918668
101,Gandiva,1.53409661026,0.939057538725,-7.23080881765
102,Garuda,-0.348318954845,-8.37015242587,4.9017383385
103,Mother,3.25859475981,2.97339284599,12.207620811
105,Three,10.4169303707,4.96573579773,-5.89836078866
130,Satyaki,-14.8108998724,-12.4725010746,-7.01522420642
136,Person,9.28177873977,0.962913752396,6.76109178111
140,Rama,8.53616494676,-5.30136670843,3.0513153508
149,Apsaras,-0.5089834639,-8.3487902431,10.9576844557
151,Brahma,7.30923763803,-4.4788215152,0.111397245652
155,Narayana,6.76087002946,-3.23169888171,0.426755654611
162,Lord,2.06112848694,-3.18584143937,7.01606306683
185,Can,9.55181405975,-4.46054457563,-13.3690457806
187,Will,8.15484585997,-7.89607610008,-11.6040757587
191,Matsyas,-2.40666452624,-3.18401342808,-1.25622152883
195,Keshava,-1.54125894498,5.25476049044,1.25239788131
209,Bhagavad,10.5022195439,-5.0535134247,4.35222594359
230,Him,3.05515603635,-6.03831652125,-4.61890187317
241,Gandharvas,-2.88381807914,-8.61606114823,5.73568263555
252,India,13.9166435257,-7.47346116877,-6.48377733749
253,Four,10.7398614507,3.97832606623,-6.2666882984
254,Shame,10.1223784636,-4.80866369322,-14.1979535844
256,Abhimanyu,-15.4162416562,-13.756556002,-8.13431782723
265,Dronacharya,-0.993031834493,1.74278042227,-1.99884196673
